ACD	TERF2IP
ACD	TINF2
ACE	AGT
ACE	EP300
ACE	RAD21
ACE2	AGT
ACHE	ATF1
ACHE	CREB1
ACHE	EGR1
ACHE	TFAP2A
ACIN1	CASP3
ACIN1	NFE2L1
ACIN1	SAP18
ACKR1	CXCL8
ACKR2	CCL11
ACKR2	CCL17
ACKR2	CCL2
ACKR2	CCL22
ACKR2	CCL3
ACKR2	CCL3L1
ACKR2	CCL4
ACKR2	CCL5
ACKR2	CCL7
ACKR2	CXCR2
ACKR2	EBF1
ACKR2	FPR2
ACKR2	MC2R
ACKR2	NFKB1
ACKR2	PTGER3
ACKR3	CXCL11
ACKR3	CXCL12
ACKR3	GNAI1
ACKR3	GNAI2
ACKR3	GNAI3
ACKR3	GNAT3
ACKR3	GNB1
ACKR3	GNG2
ACKR4	CCL19
ACKR4	CCL21
ACKR4	CCL25
ACLY	CS
ACLY	SREBF1
ACO2	UBC
ACOT1	SREBF1
ACOT8	IRF3
ACOT8	NFYA
ACOT8	NFYB
ACOX1	HNF4A
ACOX1	PPARA
ACOX1	PPARD
ACOX1	PPARG
ACOX1	RXRA
ACOX1	RXRB
ACOX1	RXRG
ACOX1	USF1
ACOX2	PPARA
ACOX2	PPARD
ACOX2	RXRA
ACOX2	RXRB
ACOX2	RXRG
ACOX3	PPARA
ACOX3	PPARD
ACOX3	RXRA
ACOX3	RXRB
ACOX3	RXRG
ACP1	ARHGAP35
ACP1	CTNNB1
ACP1	EFNA1
ACP1	EPHA2
ACP5	NFKB1
ACP5	SPI1
ACR	ZP2
ACSBG1	CPT1A
ACSBG1	CPT1B
ACSBG1	CPT1C
ACSBG1	PPARA
ACSBG1	PPARG
ACSBG1	RXRA
ACSBG1	RXRB
ACSBG1	RXRG
ACSBG2	CPT1A
ACSBG2	CPT1B
ACSBG2	CPT1C
ACSBG2	PPARA
ACSBG2	PPARG
ACSBG2	RXRA
ACSBG2	RXRB
ACSBG2	RXRG
ACSL1	CPT1A
