16-5-5	CDC42
16-5-5	RHOJ
16-5-5	RHOQ
<DELTA>FAS/APO-1/CD95	BID
<DELTA>FAS/APO-1/CD95	CASP10
<DELTA>FAS/APO-1/CD95	DAXX
<DELTA>FAS/APO-1/CD95	DKFZP686N0154
<DELTA>FAS/APO-1/CD95	FADD
<DELTA>FAS/APO-1/CD95	FASLG
<DELTA>FAS/APO-1/CD95	HSPB1
<DELTA>FAS/APO-1/CD95	MAP2K3
<DELTA>FAS/APO-1/CD95	MAP2K4
<DELTA>FAS/APO-1/CD95	MAP3K5
<DELTA>FAS/APO-1/CD95	MAPK8
<DELTA>FAS/APO-1/CD95	PTPN11
A1CF	APOBEC1
A1CF	EP300
A2M	APOA1
A2M	BMP1
A2M	CDC42
A2M	F2
A2M	FBLN2
A2M	KLK3
A2M	KLKB1
A2M	MMP1
A2M	MMP13
A2M	MMP3
A2M	NFKB1
A2M	PLG
A2M	PROC
A2M	PROS1
A2M	RAC1
A2M	RAC2
A2M	RAC3
A2M	RELA
A2M	RHOA
A2M	RHOB
A2M	RHOBTB1
A2M	RHOBTB2
A2M	RHOC
A2M	RHOD
A2M	RHOF
A2M	RHOG
A2M	RHOH
A2M	RHOJ
A2M	RHOQ
A2M	RHOT1
A2M	RHOT2
A2M	RHOU
A2M	RHOV
A2M	SERPING1
A2M	STAT1
A2M	STAT3
A4GNT	MUC1
A4GNT	MUC12
A4GNT	MUC13
A4GNT	MUC15
A4GNT	MUC16
A4GNT	MUC17
A4GNT	MUC19
A4GNT	MUC2
A4GNT	MUC20
A4GNT	MUC21
A4GNT	MUC3A
A4GNT	MUC3B
A4GNT	MUC4
A4GNT	MUC5AC
A4GNT	MUC5B
A4GNT	MUC6
A4GNT	MUC7
A4GNT	MUCL1
AAAS	AGO2
AAAS	ALYREF
AAAS	AURKB
AAAS	BANF1
AAAS	BIRC5
AAAS	C11ORF73
AAAS	CCNB1
AAAS	CCNB2
AAAS	CDC40
AAAS	CDCA8
AAAS	CDK1
AAAS	CPSF1
AAAS	CPSF2
AAAS	CPSF3
AAAS	DDX20
AAAS	DHX38
AAAS	EIF4E
AAAS	FIP1L1
AAAS	GCK
AAAS	GCKR
AAAS	GEMIN2
AAAS	GEMIN4
AAAS	GEMIN5
AAAS	GEMIN6
AAAS	GEMIN7
AAAS	HMGA1
AAAS	HNRNPC
AAAS	HSPA1A
AAAS	INCENP
AAAS	IPO8
AAAS	ISG15
AAAS	KPNA1
AAAS	KPNA2
AAAS	KPNA3
AAAS	KPNA4
AAAS	KPNA5
AAAS	KPNA7
AAAS	KPNB1
AAAS	MAGOH
AAAS	NCBP1
AAAS	NCBP2
AAAS	NDC1
AAAS	NEK6
AAAS	NEK9
AAAS	NPM1
AAAS	NUP107
AAAS	NUP133
AAAS	NUP153
AAAS	NUP155
AAAS	NUP160
AAAS	NUP188
AAAS	NUP205
AAAS	NUP210
AAAS	NUP214
AAAS	NUP35
AAAS	NUP37
AAAS	NUP43
AAAS	NUP50
AAAS	NUP54
AAAS	NUP62
AAAS	NUP85
AAAS	NUP88
AAAS	NUP93
AAAS	NUP98
AAAS	NUPL1
AAAS	NUPL2
AAAS	NXF1
