A1BG	ABCC6
A1BG	ANXA7
A1BG	CDKN1A
A1BG	GRB7
A1BG	PRDX4
A1BG	SETD7
A1BG	SMN1
A1BG	SMN2
A1BG	SNCA
A1BG	TK1
A1CF	APOBEC1
A1CF	CYSRT1
A1CF	FHL2
A1CF	FHL3
A1CF	KRT31
A1CF	KRT34
A1CF	PLEKHG4
A1CF	REL
A1CF	RIMBP3
A1CF	SDPR
A1CF	SYNCRIP
A1CF	TRAF1
A2M	ACTB
A2M	AMBP
A2M	ANXA7
A2M	AP1M2
A2M	APOE
A2M	APP
A2M	ATF7IP
A2M	ATP1A1
A2M	C11orf58
A2M	CDC37
A2M	CDC42
A2M	CDK2AP2
A2M	CDKN1A
A2M	CELA1
A2M	CYP2C18
A2M	CYP2C8
A2M	DNAJB1
A2M	ECSIT
A2M	EGLN2
A2M	ELAVL3
A2M	ENO2
A2M	EVI5L
A2M	EXOSC1
A2M	FARSA
A2M	FBXL12
A2M	FBXW4
A2M	FIS1
A2M	GCDH
A2M	GEM
A2M	GRB2
A2M	H2AFX
A2M	HMOX2
A2M	HSPA5
A2M	IFIT3
A2M	IFIT5
A2M	IGSF8
A2M	IL1B
A2M	LONP1
A2M	LRP1
A2M	MAST1
A2M	MGEA5
A2M	MLST8
A2M	NCDN
A2M	NGF
A2M	NOS3
A2M	NUDT21
A2M	PAXIP1
A2M	PDGFB
A2M	PRAM1
A2M	PRDX2
A2M	RAB3A
A2M	RAD23A
A2M	RAP1B
A2M	RETN
A2M	RHEB
A2M	RNF32
A2M	RPP14
A2M	SEPT8
A2M	SMN1
A2M	SMN2
A2M	STAMBPL1
A2M	SWSAP1
A2M	TGIF1
A2M	TGM2
A2M	TK1
A2M	TNFRSF14
A2M	TRAPPC5
A2M	TSC22D1
A2M	TTR
A2M	TUBA1B
A2M	TYRO3
A2M	UFD1L
A2M	UMPS
AAAS	REL
AAAS	UBC
AACS	CMTM5
AACS	PROP1
AACS	UBC
AADAC	APPBP2
AAGAB	AP1G1
AAGAB	AP1S3
AAGAB	AP2S1
AAGAB	EIF3C
AAGAB	HEATR1
AAGAB	UBC
AAGAB	UNC119
AAK1	AP2M1
AAMDC	ACY3
AAMDC	GORASP2
AAMDC	VPS9D1
AAMP	AEN
AAMP	BHLHE40
AAMP	C11orf57
